IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_AMR_GLASS_AWARE,RATE_PER_100_N
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,233,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Estonia,ACCESS,59.4186
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,246,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Finland,ACCESS,78.3329
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,250,COUNTRY,PUBLISHED,Antibiotic consumption pattern,France,ACCESS,71.1371
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,268,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Georgia,ACCESS,63.8687
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,276,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Germany,ACCESS,54.6427
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,348,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Hungary,ACCESS,47.7126
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,352,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Iceland,ACCESS,84.7248
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,372,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Ireland,ACCESS,64.1728
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,380,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Italy,ACCESS,47.5605
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,400,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Jordan,ACCESS,65.2266
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,428,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Latvia,ACCESS,69.3101
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,440,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Lithuania,ACCESS,70.382
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,462,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Maldives,ACCESS,23.3434
